0;1;2;3;4;5;Code ES
1;0;0;0;0;0;000003
1;0;0;0;0;0;000026
1;0;0;0;0;0;000112
1;0;0;0;0;0;000138
1;0;0;0;0;0;000716
1;0;0;0;0;0;001109
1;0;0;1;0;0;001393
1;0;0;1;0;0;001676
1;0;0;0;0;0;001691
1;0;0;0;0;0;002101
1;0;0;0;0;0;002239
1;0;0;0;0;0;002340
1;0;0;0;0;0;002775
1;0;0;0;0;0;002798
0;0;0;0;1;0;003035
0;1;0;0;0;0;003460
1;0;0;0;0;0;003483
0;1;0;0;0;0;003570
0;0;0;0;1;0;003718
0;0;1;0;0;0;003719
0;0;1;0;0;0;003734
1;0;0;1;0;0;004004
1;0;0;0;0;0;004127
1;0;0;0;0;0;004233
1;0;0;1;0;0;005135
0;0;1;0;0;0;006071
0;0;0;0;1;0;006075
0;0;0;1;0;0;006511
1;0;0;1;0;0;009459
1;0;0;0;0;0;009477
1;0;0;0;0;0;009491
1;0;0;0;0;0;009504
1;0;0;0;0;0;010012
0;0;0;0;0;1;010195
1;0;0;0;0;0;010241
0;0;0;0;1;0;010250
0;0;0;0;1;0;010319
0;0;0;1;0;0;010322
0;0;0;0;1;0;010369
0;0;0;0;1;0;010384
1;0;0;0;0;0;010399
0;0;1;0;0;0;010431
0;1;0;0;0;0;010506
1;0;0;0;0;0;010507
1;0;0;0;0;0;010525
0;0;1;0;0;0;010584
0;1;0;0;0;0;010718
0;1;0;0;0;0;010745
0;0;1;0;0;0;010746
0;0;0;1;0;0;015075
1;0;0;0;0;0;000015
1;0;0;1;0;0;000030
1;0;0;0;0;0;000062
0;1;0;0;0;0;000085
0;1;0;0;0;0;000097
0;1;0;0;0;0;000111
0;1;0;0;0;0;000133
0;1;0;0;0;0;000158
0;1;0;0;0;0;000164
0;1;0;0;0;0;000183
0;0;0;0;1;0;000295
0;1;0;0;0;0;000428
1;0;0;0;0;0;000501
1;0;0;0;0;0;000502
1;0;0;0;0;0;000503
1;0;0;0;0;0;000504
1;0;0;0;0;0;000505
1;0;0;1;0;0;000506
1;0;0;0;0;0;000509
0;0;1;0;0;0;000511
1;0;0;0;0;0;000513
1;0;0;0;0;0;000514
0;0;1;0;0;0;000515
0;0;1;0;0;0;000518
1;0;0;0;0;0;000519
0;0;1;0;0;0;000520
1;0;0;0;0;0;000521
0;1;0;0;0;0;000522
0;0;1;0;0;0;000523
1;0;0;0;0;0;000524
1;0;0;0;0;0;000526
1;0;0;0;0;0;000530
1;0;0;0;0;0;000531
1;0;0;0;0;0;000536
1;0;0;0;0;0;000540
1;0;0;0;0;0;000541
0;0;1;0;0;0;000545
0;1;0;0;0;0;000546
1;0;0;0;0;0;000547
0;0;1;0;0;0;000549
0;0;1;0;0;0;000551
0;0;1;0;0;0;000561
0;0;0;1;0;0;000641
1;0;0;0;0;0;000958
1;0;0;0;0;0;000961
1;0;0;0;0;0;000966
1;0;0;0;0;0;000969
0;0;0;0;1;0;000979
1;0;0;0;0;0;001177
1;0;0;0;0;0;001227
1;0;0;1;0;0;001229
0;1;0;0;0;0;001243
0;1;0;0;0;0;001248
0;1;0;0;0;0;001253
0;1;0;0;0;0;001364
0;1;0;0;0;0;001368
0;1;0;0;0;0;001369
0;1;0;0;0;0;001373
0;1;0;0;0;0;001396
0;1;0;0;0;0;001399
0;0;1;0;0;0;001404
0;0;1;0;0;0;001412
1;0;0;0;0;0;001518
0;1;0;0;0;0;001548
0;1;0;0;0;0;001553
1;0;0;0;0;0;001570
1;0;0;0;0;0;001581
1;0;0;0;0;0;001674
1;0;0;0;0;0;001675
1;0;0;0;0;0;001678
