Oulad frej;0;1;0;0;1;0
Oulad ghadbane;1;1;1;1;1;1
Sebt el maarif;0;1;0;0;1;0
Sidi bouzid;1;1;1;1;1;1
Sidi smail;1;1;0;1;1;0
Tnine chtouka;0;0;1;0;0;0
Sidi el abed;1;0;0;1;0;0
Ben maachou;0;1;0;0;1;0
Tnine gharbia;1;0;0;1;0;0
Boulaouane;0;1;0;0;1;0
Larbaa Moghress;0;1;0;0;1;0
Ouled ghanem;1;0;0;1;0;0
Sidi ali;1;1;1;1;1;1
Oulad bouaziz;0;1;0;0;1;0
Oulad hcine;0;1;0;0;1;0
Laaouinate;0;1;0;0;1;0
Jabria;0;1;0;0;1;0
Metrane;0;1;0;0;1;0
Msawer rasso;1;1;1;1;1;1
Bou ahmed;1;0;0;1;0;0
Jemaa mtal;0;1;0;0;1;0
Haouzia;1;1;1;1;1;1
Saniat berguig;1;0;0;1;0;0
Oulad aissa;1;0;0;1;0;0
Laamria;0;1;0;0;1;0
Ouled boussaken;0;1;0;0;1;0
Errachidia;0;1;1;1;1;0
El Jorf;0;1;0;0;0;0
Tinghir;1;0;0;0;0;0
Tinejdad;1;0;0;0;0;0
Erfoud;0;1;0;0;0;0
Moulay ali chérif rissani;0;1;0;0;0;0
Alnif;0;0;0;0;1;0
Midelt;0;0;0;1;0;0
Aoufous;0;1;0;0;0;0
Bni tadjite;0;0;1;0;0;0
Bouanane;0;0;1;0;0;0
Boudnib;0;0;1;0;0;0
Er rich;0;0;0;1;0;0
Goulmima;1;0;0;0;0;0
Gourrama;0;0;0;1;0;0
Talsint;0;0;1;0;0;0
Merzouga;0;1;0;0;0;0
Melaab;1;0;0;0;0;0
Mellab;1;0;0;0;0;0
Aarab sebbah gheris;0;1;0;0;0;0
Essifa;0;1;0;0;0;0
Er rteb;0;1;0;0;0;0
M'daghra;0;0;0;0;0;1
Zaouiat sidi hamza;0;0;0;1;0;0
Ait aissa oubrahim;1;0;0;0;0;0
Taghzout;1;0;0;0;0;0
Ferkla el oulia;1;0;0;0;0;0
Hassilabied;0;1;0;0;0;0
